spec,dependence,precision,recall,f1,redundancy_rate,noise_rate,average_precision,roc_auc,downstream_score
mi|spearman_abs|quotient|sum,nonlinear,0.4883025793650793,0.8729166666666667,0.5742967772967773,0.010371031746031746,0.4524712301587302,0.8012460317460317,0.8568402777777777,0.7121092762177477
pearson|distance_corr|difference|max,nonlinear,0.1916875,0.30138888888888893,0.1984025372775373,0.0011458333333333333,0.6854652777777778,0.33717030423280425,0.46214285714285713,0.3347223745083301
pearson|distance_corr|difference|mean,nonlinear,0.18888194444444445,0.2965277777777778,0.19494853294853295,0.007743055555555555,0.6827986111111112,0.3359285714285714,0.4560208333333334,0.3305022326242145
pearson|distance_corr|difference|sum,nonlinear,0.19363194444444443,0.30125,0.20003186628186628,0.0013541666666666667,0.6834375,0.3378505291005291,0.4635674603174603,0.3356873706902458
pearson|distance_corr|multiplicative|max,nonlinear,0.20282539682539683,0.4630555555555555,0.24587325637325638,0.0033958333333333336,0.7074047619047619,0.3499484126984127,0.4515734126984127,0.4400540026687159
pearson|distance_corr|multiplicative|mean,nonlinear,0.20129563492063493,0.4593055555555555,0.2438798701298701,0.011319444444444444,0.7026309523809524,0.3489960317460317,0.4474960317460317,0.43918204476093753
pearson|distance_corr|multiplicative|sum,nonlinear,0.2020684523809524,0.4601388888888889,0.24458621933621932,0.0032291666666666666,0.7077311507936508,0.3497896825396825,0.45109722222222226,0.441116518235545
pearson|distance_corr|quotient|max,nonlinear,0.2125515873015873,0.60875,0.2941753246753247,0.013324404761904761,0.7215694444444445,0.36035119047619046,0.4283373015873016,0.5565256139787966
pearson|distance_corr|quotient|mean,nonlinear,0.21685317460317458,0.6402777777777778,0.30245196007696007,0.01376686507936508,0.7176150793650794,0.3614289021164021,0.43217162698412703,0.5633260299509564
pearson|distance_corr|quotient|sum,nonlinear,0.20847420634920635,0.5338888888888889,0.27825811688311686,0.01638888888888889,0.7188789682539682,0.358656746031746,0.4345813492063492,0.5103511436955649
pearson|mutual_info_sklearn|difference|max,nonlinear,0.20027678571428573,0.37180555555555556,0.23047432659932662,0.0013541666666666667,0.7073482142857143,0.34893187830687833,0.45678769841269845,0.3960160720545809
pearson|mutual_info_sklearn|difference|mean,nonlinear,0.20101190476190478,0.4113888888888889,0.2371473063973064,0.0066150793650793654,0.7035079365079365,0.35064219576719574,0.45522916666666663,0.42013192582958947
