dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
radial,nonlinear,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,5,0.1,2,0.4,1.0,0.5714285714285715,0.0,0.4,0.975,0.4218600409803912
radial,nonlinear,classification,MIFS,difference,sum,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,2,1.0,1.0,1.0,0.0,0.0,0.9625,0.40798729195375927
radial,nonlinear,classification,MIFS,difference,sum,mutual_info_classif,mutual_info_sklearn,val_threshold,2,0.1,2,1.0,1.0,1.0,0.0,0.0,0.9625,0.3893346240220126
radial,nonlinear,classification,FCD,difference,mean,f_classif,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.7541666666666667,0.18242845896747895
radial,nonlinear,classification,FCD,difference,mean,f_classif,pearson_abs,val_threshold,8,0.1,2,0.25,1.0,0.4,0.0,0.625,0.9666666666666667,0.18152595800347626
radial,nonlinear,classification,FCQ,quotient,mean,f_classif,pearson_abs,val_fixed_k,5,,2,0.0,0.0,0.0,0.0,0.8,0.7291666666666666,0.16479183302726597
radial,nonlinear,classification,FCQ,quotient,mean,f_classif,pearson_abs,val_threshold,8,0.1,2,0.25,1.0,0.4,0.0,0.625,0.9666666666666666,0.18160133398487233
radial,nonlinear,classification,ModMRMR,multiplicative,max,f_classif,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.7541666666666667,0.17324929300229996
radial,nonlinear,classification,ModMRMR,multiplicative,max,f_classif,pearson_abs,val_threshold,8,0.0,2,0.25,1.0,0.4,0.0,0.625,0.9666666666666667,0.18612891499651596
radial,nonlinear,classification,ModMRMR_dcor,multiplicative,max,f_classif,distance_corr,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.7541666666666667,0.18353308300720528
radial,nonlinear,classification,ModMRMR_dcor,multiplicative,max,f_classif,distance_corr,val_threshold,8,0.0,2,0.25,1.0,0.4,0.0,0.625,0.9625,0.20119141601026058
radial,nonlinear,classification,skb_f,,,,,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.75,0.1315531239961274
radial,nonlinear,classification,skb_mi,,,,,val_fixed_k,5,,2,0.4,1.0,0.5714285714285715,0.0,0.4,0.9833333333333334,0.15214412499335594
sine,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.960164397057938,0.4061638330167625
sine,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,0,1.0,1.0,1.0,0.0,0.0,0.960164397057938,0.40973437498905696
sine,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.960164397057938,0.4044339600368403
sine,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,6,0.1,0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9577208149472355,0.4635962520260364
sine,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.960164397057938,0.40217437595129013
sine,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,0,1.0,1.0,1.0,0.0,0.0,0.960164397057938,0.3869076260307338
sine,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.2,0.4,0.9580216529583367,0.18455425105639733
sine,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_threshold,6,0.1,0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9535351987228583,0.2215971260156948
