kind,dataset,p,operator,aggregation,k,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,downstream_score,runtime_s
synthetic,synthetic_p10000,10000,multiplicative,max,10,0.5266666666666666,0.21000000000000002,0.42000000000000004,0.1982026984126984,0.7096378189094548,,2.263709024805576
synthetic,synthetic_p10000,10000,multiplicative,max,20,0.43000000000000005,0.5700000000000001,0.48,0.21152234876234877,0.7393376688344172,,2.2306771456846035
synthetic,synthetic_p10000,10000,multiplicative,mean,5,0.4,0.0,0.24,0.14604666666666669,0.6198139069534767,,2.1832199623051567
synthetic,synthetic_p10000,10000,multiplicative,mean,10,0.6666666666666666,0.0,0.62,0.274205873015873,0.8096318159079541,,2.2716147414175794
synthetic,synthetic_p10000,10000,multiplicative,mean,20,0.74,0.26,0.6799999999999999,0.2907842646242646,0.8394477238619309,,2.3262554793152956
synthetic,synthetic_p10000,10000,quotient,mean,5,0.08800000000000001,0.78,0.06000000000000001,0.06047,0.5297768884442221,,2.225341479096096
synthetic,synthetic_p10000,10000,quotient,mean,10,0.13999999999999999,0.79,0.1,0.07211666666666668,0.5495457728864432,,2.1821885415003637
synthetic,synthetic_p10000,10000,quotient,mean,20,0.22000000000000003,0.78,0.3,0.10067345019961119,0.6490695347673837,,2.2306645542033947
synthetic,synthetic_p10000,10000,reg_quotient,mean,5,0.376,0.06000000000000001,0.33999999999999997,0.23166333333333333,0.6698389194597298,,2.2374807333922946
synthetic,synthetic_p10000,10000,reg_quotient,mean,10,0.6066666666666667,0.09,0.48,0.28113301587301587,0.739663831915958,,2.26151829600567
synthetic,synthetic_p10000,10000,reg_quotient,mean,20,0.6050000000000001,0.395,0.6799999999999999,0.32383687867687866,0.8394017008504253,,2.2487080457154662
synthetic,synthetic_p2000,2000,difference,mean,5,0.336,0.16,0.22000000000000003,0.16028333333333333,0.609092731829574,,0.2690247209975496
synthetic,synthetic_p2000,2000,difference,mean,10,0.4866666666666667,0.27,0.33999999999999997,0.19008650793650794,0.6680952380952381,,0.2751673916878644
synthetic,synthetic_p2000,2000,difference,mean,20,0.5349999999999999,0.465,0.6599999999999999,0.2527122839149155,0.826110275689223,,0.29017300030682236
synthetic,synthetic_p2000,2000,multiplicative,max,5,0.4,0.0,0.26,0.15385,0.6290726817042607,,0.26979029611102306
synthetic,synthetic_p2000,2000,multiplicative,max,10,0.5533333333333333,0.16999999999999998,0.48,0.21887936507936506,0.7381654135338345,,0.2779753166018054
synthetic,synthetic_p2000,2000,multiplicative,max,20,0.48,0.52,0.58,0.2421823953823954,0.7868521303258145,,0.2909543333982583
synthetic,synthetic_p2000,2000,multiplicative,mean,5,0.4,0.0,0.24000000000000005,0.1369,0.6190476190476191,,0.27217211649985984
synthetic,synthetic_p2000,2000,multiplicative,mean,10,0.6666666666666666,0.0,0.62,0.26144206349206345,0.8080651629072682,,0.27859242080594415
synthetic,synthetic_p2000,2000,multiplicative,mean,20,0.76,0.24,0.6799999999999999,0.2783550005550005,0.8371528822055139,,0.29060295000090264
synthetic,synthetic_p2000,2000,quotient,mean,5,0.10400000000000002,0.74,0.08,0.0703,0.5388872180451127,,0.27071332929772324
synthetic,synthetic_p2000,2000,quotient,mean,10,0.16666666666666669,0.75,0.2,0.09672222222222222,0.5976942355889724,,0.2776407502125949
synthetic,synthetic_p2000,2000,quotient,mean,20,0.265,0.735,0.38,0.12259817078346491,0.6856290726817043,,0.2931400708097499
synthetic,synthetic_p2000,2000,reg_quotient,mean,5,0.4,0.0,0.36,0.24259999999999998,0.6792080200501254,,0.26930951260146685
synthetic,synthetic_p2000,2000,reg_quotient,mean,10,0.6199999999999999,0.07,0.48,0.2843952380952381,0.7383558897243108,,0.2736616290989332
synthetic,synthetic_p2000,2000,reg_quotient,mean,20,0.625,0.375,0.6799999999999999,0.33020992340992344,0.8371027568922307,,0.2882082415104378
