operator,p,seed,k,downstream_score,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,runtime_s
quotient,1000,2,20,0.9204662752549326,0.35,0.65,0.6,0.35438095238095235,0.7949748743718593,0.14505474996985868
quotient,1000,3,20,0.8258042459187767,0.20000000000000004,0.8,0.0,0.005,0.4899497487437186,0.14976291602943093
quotient,1000,4,20,0.9127147450016108,0.3,0.7,0.6,0.14485714285714285,0.7925628140703518,0.14535916701424867
quotient,1000,5,20,0.9577150408615441,0.3,0.7,0.6,0.3686666666666667,0.7949748743718593,0.14474399999016896
quotient,1000,6,20,0.8974417977764482,0.35,0.65,0.4,0.24744444444444447,0.6931658291457286,0.1447853329591453
quotient,1000,7,20,0.8243808309061862,0.20000000000000004,0.8,0.2,0.017333333333333333,0.5895477386934673,0.1482975829858333
quotient,1000,8,20,0.8884615384615384,0.25,0.75,0.2,0.018285714285714287,0.589748743718593,0.14662658295128495
quotient,1000,9,20,0.7729143518366327,0.20000000000000004,0.8,0.0,0.005,0.4899497487437186,0.14569091697921976
reg_quotient,1000,0,20,0.9448717948717948,0.6,0.4,0.8,0.3476666666666667,0.8953768844221106,0.1424325000261888
reg_quotient,1000,1,20,0.9564102564102563,0.6,0.4,0.6,0.12511688311688313,0.7921608040201006,0.14400274999206886
reg_quotient,1000,2,20,0.9230501186727066,0.65,0.35,1.0,0.8253968253968254,0.9985929648241206,0.1435717080021277
reg_quotient,1000,3,20,0.9051407307082886,0.55,0.45,0.6,0.2353333333333333,0.7943718592964825,0.14620187500258908
reg_quotient,1000,4,20,0.9383690885541653,0.6,0.4,0.6,0.3553333333333333,0.7957788944723618,0.14407529099844396
reg_quotient,1000,5,20,0.9769294998652194,0.6,0.4,0.6,0.602,0.7965829145728643,0.14266779203899205
reg_quotient,1000,6,20,0.9269521824601081,0.8000000000000002,0.2,0.8,0.3489020979020979,0.8929648241206031,0.14315249997889623
reg_quotient,1000,7,20,0.9089441745179127,0.6,0.4,0.4,0.08936363636363637,0.6921608040201004,0.14253066602395847
reg_quotient,1000,8,20,0.9525641025641025,0.65,0.35,0.8,0.4432222222222222,0.8965829145728644,0.14345724997110665
reg_quotient,1000,9,20,0.8871458720964635,0.6,0.4,0.6,0.20866666666666667,0.7941708542713568,0.14114745799452066
difference,2000,0,20,0.9296496949295182,0.5,0.5,0.8,0.2905,0.8964912280701754,0.3014784170081839
difference,2000,1,20,0.9333065963615803,0.5,0.5,0.6,0.08623809523809522,0.7947869674185464,0.2892316249781288
difference,2000,2,20,0.9192307692307693,0.55,0.45,1.0,0.607967032967033,0.9976942355889723,0.3387452909955755
difference,2000,3,20,0.8999730438727408,0.5,0.5,0.4,0.1015,0.6960902255639096,0.28815062501234934
difference,2000,4,20,0.9346153846153846,0.55,0.45,0.6,0.14766666666666667,0.795889724310777,0.28709645802155137
difference,2000,5,20,0.9769230769230769,0.5,0.5,0.6,0.601,0.798295739348371,0.28684337495360523
difference,2000,6,20,0.917948717948718,0.65,0.35,0.8,0.3046666666666667,0.8949874686716792,0.28335270803654566
difference,2000,7,20,0.9166628314453087,0.5,0.5,0.4,0.04477485380116959,0.6947869674185463,0.29745762498350814
difference,2000,8,20,0.940939782641569,0.6,0.4,0.8,0.25097619047619046,0.8969924812030076,0.28888729197205976
difference,2000,9,20,0.8833227042912839,0.5,0.5,0.6,0.09183333333333332,0.7950877192982456,0.28541474998928607
multiplicative,2000,0,20,0.9347517357458448,0.8000000000000002,0.2,0.8,0.38049999999999995,0.8977944862155389,0.29606833396246657
multiplicative,2000,1,20,0.9550851747874739,0.75,0.25,0.6,0.14623809523809522,0.7964912280701755,0.30282770801568404
multiplicative,2000,2,20,0.9256410256410257,0.8000000000000002,0.2,1.0,0.5968253968253969,0.9985964912280701,0.2874467499786988
multiplicative,2000,3,20,0.9230895666638177,0.7,0.3,0.6,0.16766666666666666,0.7967919799498747,0.2900196249829605
multiplicative,2000,4,20,0.9435897435897436,0.65,0.35,0.6,0.18554545454545457,0.7968922305764412,0.2892057920107618
multiplicative,2000,5,20,0.9846153846153847,0.75,0.25,0.6,0.32480952380952377,0.7971929824561405,0.290598375024274
multiplicative,2000,6,20,0.9333333333333333,0.85,0.15,0.8,0.38325058275058277,0.897092731829574,0.28896183299366385
multiplicative,2000,7,20,0.9217844956245602,0.75,0.25,0.4,0.08007142857142857,0.6960902255639096,0.3006605420378037
multiplicative,2000,8,20,0.9473599431948928,0.85,0.15,0.8,0.3043095238095238,0.8973934837092733,0.2923872080282308
multiplicative,2000,9,20,0.8871721707572042,0.7,0.3,0.6,0.21433333333333332,0.7971929824561405,0.2909790829871781
quotient,2000,0,20,0.84490058910162,0.25,0.75,0.2,0.0145,0.5946867167919799,0.29015212500235066
quotient,2000,1,20,0.9140921373579051,0.25,0.75,0.0,0.0025,0.4949874686716792,0.29421025002375245
quotient,2000,2,20,0.9115384615384616,0.3,0.7,0.6,0.3054444444444444,0.7968922305764412,0.3072638749727048
quotient,2000,3,20,0.8435689912491207,0.20000000000000004,0.8,0.2,0.020181818181818183,0.595187969924812,0.2862162080127746
quotient,2000,4,20,0.908974358974359,0.3,0.7,0.6,0.12877777777777777,0.7961904761904762,0.2903025000123307
quotient,2000,5,20,0.967948717948718,0.3,0.7,0.6,0.341,0.7972932330827068,0.2883634999743663
quotient,2000,6,20,0.8961538461538462,0.25,0.75,0.4,0.22816666666666668,0.6959899749373433,0.2899234590004198
quotient,2000,7,20,0.892333282927567,0.3,0.7,0.0,0.0025,0.4949874686716792,0.29068375000497326
quotient,2000,8,20,0.916564211467531,0.3,0.7,0.6,0.09765775401069518,0.7952882205513785,0.28971466701477766
quotient,2000,9,20,0.7474112255833372,0.20000000000000004,0.8,0.6,0.08525324675324675,0.7947869674185464,0.2917314580408856
reg_quotient,2000,0,20,0.928347885545971,0.65,0.35,0.8,0.19648290598290602,0.8962907268170427,0.28855879203183576
reg_quotient,2000,1,20,0.9448352717637853,0.6,0.4,0.6,0.11776767676767677,0.795889724310777,0.2899730419740081
reg_quotient,2000,2,20,0.926923076923077,0.65,0.35,1.0,0.8253968253968254,0.999298245614035,0.28909450001083314
reg_quotient,2000,3,20,0.91024924555717,0.55,0.45,0.6,0.144030303030303,0.7959899749373435,0.28962466603843495
reg_quotient,2000,4,20,0.9423076923076923,0.6,0.4,0.6,0.3543333333333333,0.7978947368421053,0.288514000014402
reg_quotient,2000,5,20,0.9782051282051283,0.6,0.4,0.6,0.601,0.798295739348371,0.28595566598232836
reg_quotient,2000,6,20,0.9217948717948719,0.8000000000000002,0.2,0.8,0.33332051282051284,0.8960902255639098,0.2888103330042213
reg_quotient,2000,7,20,0.9166562567801235,0.6,0.4,0.4,0.08483333333333334,0.6959899749373433,0.2876677910098806
reg_quotient,2000,8,20,0.9473533685297076,0.65,0.35,0.8,0.44272222222222224,0.898295739348371,0.29101675003767014
reg_quotient,2000,9,20,0.8845883273394302,0.55,0.45,0.6,0.20221212121212123,0.7969924812030076,0.28712850000010803
difference,5000,0,20,0.9397435897435897,0.5,0.5,0.8,0.2930571428571429,0.8986386386386387,0.9102794590289705
difference,5000,1,20,0.9384615384615385,0.5,0.5,0.6,0.08783589743589743,0.7979579579579581,0.9523434159928001
difference,5000,2,20,0.926923076923077,0.5,0.5,1.0,0.740909090909091,0.9995595595595596,0.9427693340112455
difference,5000,3,20,0.921810794285301,0.45,0.55,0.6,0.17676363636363637,0.7984384384384386,0.9064057500218041
difference,5000,4,20,0.9179087304978994,0.55,0.45,0.6,0.14706666666666668,0.7983583583583584,0.897899082978256
difference,5000,5,20,0.967978093215603,0.5,0.5,0.6,0.6004,0.7993193193193194,0.8961756249773316
difference,5000,6,20,0.9307490516045471,0.65,0.35,0.8,0.3043666666666667,0.8979979979979981,0.8658846669713967
difference,5000,7,20,0.9127870663186477,0.5,0.5,0.4,0.060600000000000015,0.698038038038038,0.9557503329706378
difference,5000,8,20,0.935724805386072,0.55,0.45,0.8,0.29924761904761904,0.898998998998999,0.9060702919960022
difference,5000,9,20,0.8782347990742689,0.5,0.5,0.6,0.15039999999999998,0.7984384384384385,0.9804871660307981
multiplicative,5000,0,20,0.9474358974358974,0.8000000000000002,0.2,0.8,0.3802,0.8991191191191191,0.9557826250093058
multiplicative,5000,1,20,0.9487179487179487,0.7,0.3,0.6,0.19278095238095236,0.7988388388388389,0.9525903749745339
multiplicative,5000,2,20,0.9397435897435897,0.8000000000000002,0.2,1.0,0.5968253968253969,0.9994394394394394,0.8542885420029052
multiplicative,5000,3,20,0.9346182420660227,0.65,0.35,0.6,0.14373333333333332,0.7985985985985987,0.8770655409898609
multiplicative,5000,4,20,0.9243025923904825,0.65,0.35,0.6,0.18494545454545452,0.7987587587587589,0.8448076249915175
multiplicative,5000,5,20,0.9718209850163381,0.7,0.3,0.6,0.3242095238095238,0.798878878878879,0.8608515840023756
multiplicative,5000,6,20,0.9332868723660248,0.85,0.15,0.8,0.38295058275058275,0.8988388388388389,0.9139236669871025
multiplicative,5000,7,20,0.9217581969638196,0.75,0.25,0.4,0.07917142857142857,0.6984384384384384,0.8361106250085868
multiplicative,5000,8,20,0.95370029455081,0.8000000000000002,0.2,0.8,0.31959393939393943,0.898998998998999,1.0276962500065565
multiplicative,5000,9,20,0.9038370502840312,0.7,0.3,0.6,0.19278095238095236,0.7988388388388389,0.835422916978132
