dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,0.9898125331560315,0.0774182919994928
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,1,0.0,0.0,0.0,0.0,0.8,0.9900662713092289,0.09826674999203533
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,threshold,4,0.0,1,0.0,0.0,0.0,0.0,0.75,0.9902296565905991,0.07769083298626356
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.05,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07606170797953382
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07755229200120084
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.007588542008306831
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,fixed_k,2,,1,0.0,0.0,0.0,0.5,0.0,0.9908032108871275,0.007880707998992875
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9898563827754145,0.008893624995835125
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,threshold,7,0.0,1,0.14285714285714285,1.0,0.25,0.14285714285714285,0.5714285714285714,0.9902670579403293,0.01060583401704207
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,threshold,7,0.05,1,0.14285714285714285,1.0,0.25,0.14285714285714285,0.5714285714285714,0.9902670579403293,0.010697082994738594
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,threshold,6,0.1,1,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9898198683782976,0.010332749981898814
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.0074368340137880296
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,fixed_k,2,,1,0.0,0.0,0.0,0.5,0.0,0.9908032108871275,0.0079323330137413
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9898660962035966,0.009741124988067895
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,threshold,8,0.0,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9905372602446069,0.011309708002954721
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,threshold,8,0.05,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9905372602446069,0.011418792011681944
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,threshold,8,0.1,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9905372602446069,0.01108787499833852
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.007579041994176805
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,fixed_k,2,,1,0.0,0.0,0.0,0.5,0.0,0.9908032108871275,0.008067958988249302
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,fixed_k,5,,1,0.0,0.0,0.0,0.2,0.6,0.9901531544183726,0.010500665986910462
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,8,0.0,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9903451637273865,0.011391417006962001
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,6,0.05,1,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.9906307100530167,0.010659084015060216
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,6,0.1,1,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.9906307100530167,0.010847291006939486
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.015485709009226412
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,fixed_k,2,,1,0.0,0.0,0.0,0.5,0.0,0.9908032108871275,0.015839750005397946
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,fixed_k,5,,1,0.0,0.0,0.0,0.2,0.6,0.9901531544183726,0.017662833008216694
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,threshold,8,0.0,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9903451637273865,0.019438167015323415
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,threshold,6,0.05,1,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.9906307100530167,0.01930345900473185
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,threshold,5,0.1,1,0.0,0.0,0.0,0.2,0.6,0.9901531544183726,0.018680832989048213
parabola,nonlinear,regression,skb_f,,,,,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.0002470830222591758
parabola,nonlinear,regression,skb_f,,,,,fixed_k,2,,1,0.0,0.0,0.0,0.5,0.0,0.9907443055906742,0.00021349999587982893
