method,source,dataset,k,seed,recovery_f1,noise_rate,runtime_s
mrmr_selection_classif,external,linear_control_clf,3,1,1.0,0.0,1.6267017089994624
mrmr_selection_classif,external,linear_control_clf,5,1,0.7499999999999999,0.4,1.9699390840250999
cmim,external,linear_control_clf,3,1,0.0,1.0,0.00994299998274073
cmim,external,linear_control_clf,5,1,0.5,0.6,0.014377708022948354
jmi,external,linear_control_clf,3,1,0.3333333333333333,0.6666666666666666,0.009120291972067207
jmi,external,linear_control_clf,5,1,0.7499999999999999,0.4,0.014526541985105723
MID,modmrmr,linear_control_clf,3,1,0.6666666666666666,0.3333333333333333,0.0831841669860296
MID,modmrmr,linear_control_clf,5,1,0.5,0.6,0.0839710000436753
MIQ,modmrmr,linear_control_clf,3,1,0.6666666666666666,0.3333333333333333,0.0820540840504691
MIQ,modmrmr,linear_control_clf,5,1,0.7499999999999999,0.4,0.08296199998585507
FCD,modmrmr,linear_control_clf,3,1,1.0,0.0,0.009594042028766125
FCD,modmrmr,linear_control_clf,5,1,0.7499999999999999,0.4,0.010107708047144115
FCQ,modmrmr,linear_control_clf,3,1,1.0,0.0,0.009695124987047166
FCQ,modmrmr,linear_control_clf,5,1,0.7499999999999999,0.4,0.010475499962922186
ModMRMR,modmrmr,linear_control_clf,3,1,0.6666666666666666,0.3333333333333333,0.009172459016554058
ModMRMR,modmrmr,linear_control_clf,5,1,0.5,0.6,0.01052025001263246
mrmr_selection_classif,external,linear_control_clf,3,2,1.0,0.0,1.7041622920078225
mrmr_selection_classif,external,linear_control_clf,5,2,0.7499999999999999,0.4,1.929272959008813
cmim,external,linear_control_clf,3,2,0.0,1.0,0.009496708982624114
cmim,external,linear_control_clf,5,2,0.5,0.6,0.014537583978381008
jmi,external,linear_control_clf,3,2,0.3333333333333333,0.6666666666666666,0.009233875025529414
jmi,external,linear_control_clf,5,2,0.7499999999999999,0.4,0.014201458019670099
MID,modmrmr,linear_control_clf,3,2,0.6666666666666666,0.3333333333333333,0.08129912498407066
MID,modmrmr,linear_control_clf,5,2,0.5,0.6,0.07995604100869969
MIQ,modmrmr,linear_control_clf,3,2,0.6666666666666666,0.3333333333333333,0.07978004100732505
MIQ,modmrmr,linear_control_clf,5,2,0.5,0.6,0.08097670797724277
FCD,modmrmr,linear_control_clf,3,2,1.0,0.0,0.009157124964985996
FCD,modmrmr,linear_control_clf,5,2,0.7499999999999999,0.4,0.009654499997850507
FCQ,modmrmr,linear_control_clf,3,2,1.0,0.0,0.009525667002890259
FCQ,modmrmr,linear_control_clf,5,2,0.7499999999999999,0.4,0.01048116700258106
ModMRMR,modmrmr,linear_control_clf,3,2,0.6666666666666666,0.3333333333333333,0.009638333052862436
ModMRMR,modmrmr,linear_control_clf,5,2,0.5,0.6,0.011543417000211775
mrmr_selection_classif,external,linear_control_reg,3,0,1.0,0.0,1.6184490000014193
mrmr_selection_classif,external,linear_control_reg,5,0,0.7499999999999999,0.4,1.9440521670039743
MID,modmrmr,linear_control_reg,3,0,0.6666666666666666,0.3333333333333333,0.0815805839956738
MID,modmrmr,linear_control_reg,5,0,0.5,0.6,0.081653458008077
MIQ,modmrmr,linear_control_reg,3,0,1.0,0.0,0.08064866700442508
MIQ,modmrmr,linear_control_reg,5,0,0.7499999999999999,0.4,0.08208641596138477
FCD,modmrmr,linear_control_reg,3,0,1.0,0.0,0.009219375031534582
FCD,modmrmr,linear_control_reg,5,0,0.7499999999999999,0.4,0.009730457968544215
FCQ,modmrmr,linear_control_reg,3,0,1.0,0.0,0.00888933299575001
FCQ,modmrmr,linear_control_reg,5,0,0.7499999999999999,0.4,0.009945333003997803
ModMRMR,modmrmr,linear_control_reg,3,0,0.6666666666666666,0.3333333333333333,0.008838415960781276
ModMRMR,modmrmr,linear_control_reg,5,0,0.7499999999999999,0.4,0.00993779202690348
mrmr_selection_classif,external,linear_control_reg,3,1,1.0,0.0,1.5946315830224194
mrmr_selection_classif,external,linear_control_reg,5,1,0.7499999999999999,0.4,1.9185207500122488
MID,modmrmr,linear_control_reg,3,1,0.6666666666666666,0.3333333333333333,0.08214745804434642
MID,modmrmr,linear_control_reg,5,1,0.5,0.6,0.08205383300082758
MIQ,modmrmr,linear_control_reg,3,1,0.6666666666666666,0.3333333333333333,0.08165770804043859
MIQ,modmrmr,linear_control_reg,5,1,0.7499999999999999,0.4,0.08302995801204816
FCD,modmrmr,linear_control_reg,3,1,1.0,0.0,0.00914224999723956
FCD,modmrmr,linear_control_reg,5,1,0.7499999999999999,0.4,0.009562833001837134
FCQ,modmrmr,linear_control_reg,3,1,1.0,0.0,0.008774292015004903
FCQ,modmrmr,linear_control_reg,5,1,0.7499999999999999,0.4,0.009908374981023371
ModMRMR,modmrmr,linear_control_reg,3,1,0.6666666666666666,0.3333333333333333,0.008795375004410744
ModMRMR,modmrmr,linear_control_reg,5,1,0.7499999999999999,0.4,0.009937875031027943
mrmr_selection_classif,external,linear_control_reg,3,2,1.0,0.0,1.6254375419812277
mrmr_selection_classif,external,linear_control_reg,5,2,0.7499999999999999,0.4,1.9396755829802714
MID,modmrmr,linear_control_reg,3,2,0.6666666666666666,0.3333333333333333,0.08183324994752184
MID,modmrmr,linear_control_reg,5,2,0.5,0.6,0.08107674994971603
